DISTRICT,CNTYNAME,COUNTY,DFLCHART,DISTNAME,REGION,secs
'126904,JOHNSON,'126,N,GRANDVIEW ISD,'11,
'090905,GRAY,'090,N,GRANDVIEW-HOPKINS ISD,'16,
'246905,WILLIAMSON,'246,N,GRANGER ISD,'13,
'226907,TOM GREEN,'226,N,GRAPE CREEK ISD,'15,D
'113902,HOUSTON,'113,N,GRAPELAND ISD,'06,D
'220906,TARRANT,'220,N,GRAPEVINE-COLLEYVILLE ISD,'11,
'116905,HUNT,'116,N,GREENVILLE ISD,'10,C
'165902,MIDLAND,'165,N,GREENWOOD ISD,'18,
'205902,SAN PATRICIO,'205,N,GREGORY-PORTLAND ISD,'02,B
'147902,LIMESTONE,'147,N,GROESBECK ISD,'12,
'033901,CARSON,'033,N,GROOM ISD,'16,
'228901,TRINITY,'228,N,GROVETON ISD,'06,
'098901,HANSFORD,'098,N,GRUVER ISD,'16,
'091917,GRAYSON,'091,N,GUNTER ISD,'10,
'047903,COMANCHE,'047,N,GUSTINE ISD,'14,
'135001,KING,'135,N,GUTHRIE CSD,'17,
'095903,HALE,'095,N,HALE CENTER ISD,'17,
'143901,LAVACA,'143,N,HALLETTSVILLE ISD,'03,
'161924,MCLENNAN,'161,N,HALLSBURG ISD,'12,
'102904,HARRISON,'102,N,HALLSVILLE ISD,'07,
'097902,HAMILTON,'097,N,HAMILTON ISD,'12,
'127903,JONES,'127,N,HAMLIN ISD,'14,
'123914,JEFFERSON,'123,N,HAMSHIRE-FANNETT ISD,'05,D
'219901,SWISHER,'219,N,HAPPY ISD,'16,D
'146904,LIBERTY,'146,N,HARDIN ISD,'04,D
'100905,HARDIN,'100,N,HARDIN-JEFFERSON ISD,'05,
'015904,BEXAR,'015,N,HARLANDALE ISD,'20,D
'102905,HARRISON,'102,N,HARLETON ISD,'07,
'031903,CAMERON,'031,N,HARLINGEN CISD,'01,B
'230905,UPSHUR,'230,N,HARMONY ISD,'07,D
'101858,HARRIS,'101,Y,HARMONY SCHOOL OF EXCELLENCE,'04,
'101862,HARRIS,'101,Y,HARMONY SCHOOL OF SCIENCE - HOUSTO,'04,
'071806,EL PASO,'071,Y,HARMONY SCIENCE ACAD (EL PASO),'19,
'220813,TARRANT,'220,Y,HARMONY SCIENCE ACAD (FORT WORTH),'11,
'152805,LUBBOCK,'152,Y,HARMONY SCIENCE ACAD (LUBBOCK),'17,
'015828,BEXAR,'015,Y,HARMONY SCIENCE ACAD (SAN ANTONIO),'20,
'161807,MCLENNAN,'161,Y,HARMONY SCIENCE ACAD (WACO),'12,
'101846,HARRIS,'101,Y,HARMONY SCIENCE ACADEMY,'04,D
'227816,TRAVIS,'227,Y,HARMONY SCIENCE ACADEMY (AUSTIN),'13,
'031803,CAMERON,'031,Y,HARMONY SCIENCE ACADEMY - BROWNSVI,'01,
'240804,WEBB,'240,Y,HARMONY SCIENCE ACADEMY - LAREDO,'01,
'086902,GILLESPIE,'086,N,HARPER ISD,'13,D
'244901,WILBARGER,'244,N,HARROLD ISD,'09,D
'035902,CASTRO,'035,N,HART ISD,'16,
'103902,HARTLEY,'103,N,HARTLEY ISD,'16,
'225907,TITUS,'225,N,HARTS BLUFF ISD,'08,
'104901,HASKELL,'104,N,HASKELL CISD,'14,
'250902,WOOD,'250,N,HAWKINS ISD,'07,B
'127904,JONES,'127,N,HAWLEY ISD,'14,
'105906,HAYS,'105,N,HAYS CISD,'13,
'198905,ROBERTSON,'198,N,HEARNE ISD,'06,D
'065902,DONLEY,'065,N,HEDLEY ISD,'16,
'202903,SABINE,'202,N,HEMPHILL ISD,'07,
'237902,WALLER,'237,N,HEMPSTEAD ISD,'04,D
'201902,RUSK,'201,N,HENDERSON ISD,'07,L
'039902,CLAY,'039,N,HENRIETTA ISD,'09,
'015833,BEXAR,'015,Y,HENRY FORD ACADEMY ALAMEDA SCHOOL,'20,
'059901,DEAF SMITH,'059,N,HEREFORD ISD,'16,B
'208901,SCURRY,'208,N,HERMLEIGH ISD,'14,
'097903,HAMILTON,'097,N,HICO ISD,'12,
'108905,HIDALGO,'108,N,HIDALGO ISD,'01,C
'148903,LIPSCOMB,'148,N,HIGGINS ISD,'16,
'015803,BEXAR,'015,Y,HIGGS CARTER KING GIFTED & TALENTE,'20,
'084903,GALVESTON,'084,N,HIGH ISLAND ISD,'05,B
'177905,NOLAN,'177,N,HIGHLAND ISD,'14,D
'057911,DALLAS,'057,N,HIGHLAND PARK ISD,'10,D
'188903,POTTER,'188,N,HIGHLAND PARK ISD,'16,
'109904,HILL,'109,N,HILLSBORO ISD,'12,D
'084908,GALVESTON,'084,N,HITCHCOCK ISD,'04,B
'014905,BELL,'014,N,HOLLAND ISD,'12,
'005902,ARCHER,'005,N,HOLLIDAY ISD,'09,
'163904,MEDINA,'163,N,HONDO ISD,'20,D
'074907,FANNIN,'074,N,HONEY GROVE ISD,'10,B
'057825,DALLAS,'057,Y,HONORS ACADEMY,'10,B
'019902,BOWIE,'019,N,HOOKS ISD,'08,B
'101812,HARRIS,'101,Y,HOUSTON CAN ACADEMY CHARTER SCHOOL,'04,B
'101828,HARRIS,'101,Y,HOUSTON GATEWAY ACADEMY INC,'04,
'101821,HARRIS,'101,Y,HOUSTON HEIGHTS HIGH SCHOOL,'04,B
'101829,HARRIS,'101,Y,HOUSTON HEIGHTS LEARNING ACADEMY I,'04,
'101912,HARRIS,'101,N,HOUSTON ISD,'04,B
'091905,GRAYSON,'091,N,HOWE ISD,'10,D
'019913,BOWIE,'019,N,HUBBARD ISD,'08,
'109905,HILL,'109,N,HUBBARD ISD,'12,
'072908,ERATH,'072,N,HUCKABAY ISD,'11,
'003902,ANGELINA,'003,N,HUDSON ISD,'07,
'101925,HARRIS,'101,N,HUFFMAN ISD,'04,
'034903,CASS,'034,N,HUGHES SPRINGS ISD,'08,
'146905,LIBERTY,'146,N,HULL-DAISETTA ISD,'04,B
'101913,HARRIS,'101,N,HUMBLE ISD,'04,
'133902,KERR,'133,N,HUNT ISD,'20,
'003904,ANGELINA,'003,N,HUNTINGTON ISD,'07,
'236902,WALKER,'236,N,HUNTSVILLE ISD,'06,B
'220916,TARRANT,'220,N,HURST-EULESS-BEDFORD ISD,'11,
'246906,WILLIAMSON,'246,N,HUTTO ISD,'13,
'152910,LUBBOCK,'152,N,IDALOU ISD,'17,D
'108807,HIDALGO,'108,Y,IDEA PUBLIC SCHOOLS,'01,
'120905,JACKSON,'120,N,INDUSTRIAL ISD,'03,A
'108801,HIDALGO,'108,Y,INFORMATION REFERRAL RESOURCE ASSI,'01,A
'205903,SAN PATRICIO,'205,N,INGLESIDE ISD,'02,
'133904,KERR,'133,N,INGRAM ISD,'20,B
'057830,DALLAS,'057,Y,INSPIRED VISION ACADEMY,'10,J
'093903,GRIMES,'093,N,IOLA ISD,'06,
'243903,WICHITA,'243,N,IOWA PARK CISD,'09,
'208903,SCURRY,'208,N,IRA ISD,'14,
'186903,PECOS,'186,N,IRAAN-SHEFFIELD ISD,'18,
'018906,BOSQUE,'018,N,IREDELL ISD,'12,
'118902,IRION,'118,N,IRION COUNTY ISD,'15,
'057912,DALLAS,'057,N,IRVING ISD,'10,
'070907,ELLIS,'070,N,ITALY ISD,'10,
'109907,HILL,'109,N,ITASCA ISD,'12,D
'119902,JACK,'119,N,JACKSBORO ISD,'09,
'037904,CHEROKEE,'037,N,JACKSONVILLE ISD,'07,B
'101822,HARRIS,'101,Y,JAMIE'S HOUSE CHARTER SCHOOL,'04,E
'246907,WILLIAMSON,'246,N,JARRELL ISD,'13,
'121904,JASPER,'121,N,JASPER ISD,'05,B
'132902,KENT,'132,N,JAYTON-GIRARD ISD,'17,
'057819,DALLAS,'057,Y,JEAN MASSIEU ACADEMY,'10,B
'155901,MARION,'155,N,JEFFERSON ISD,'08,B
'124901,JIM HOGG,'124,N,JIM HOGG COUNTY ISD,'01,B
'221911,TAYLOR,'221,N,JIM NED CISD,'14,
'210902,SHELBY,'210,N,JOAQUIN ISD,'07,D
'015808,BEXAR,'015,Y,JOHN H WOOD JR PUBLIC CHARTER DIST,'20,H
'016901,BLANCO,'016,N,JOHNSON CITY ISD,'13,
'050909,CORYELL,'050,N,JONESBORO ISD,'12,
'126905,JOHNSON,'126,N,JOSHUA ISD,'11,
'007902,ATASCOSA,'007,N,JOURDANTON ISD,'20,L
'101852,HARRIS,'101,Y,JUAN B GALAVIZ CHARTER SCHOOL,'04,
'015822,BEXAR,'015,Y,JUBILEE ACADEMIC CENTER,'20,
'015916,BEXAR,'015,N,JUDSON ISD,'20,
'134901,KIMBLE,'134,N,JUNCTION ISD,'15,D
'102901,HARRISON,'102,N,KARNACK ISD,'07,D
'128901,KARNES,'128,N,KARNES CITY ISD,'03,B
'105801,HAYS,'105,Y,KATHERINE ANNE PORTER SCHOOL,'13,
'101914,HARRIS,'101,N,KATY ISD,'04,
'129903,KAUFMAN,'129,N,KAUFMAN ISD,'10,
'126906,JOHNSON,'126,N,KEENE ISD,'11,
'220907,TARRANT,'220,N,KELLER ISD,'11,
'242905,WHEELER,'242,N,KELTON ISD,'16,
'129904,KAUFMAN,'129,N,KEMP ISD,'10,D
'131001,KENEDY,'131,N,KENEDY COUNTY WIDE CSD,'02,
'128902,KARNES,'128,N,KENEDY ISD,'03,
'113906,HOUSTON,'113,N,KENNARD ISD,'06,D
'220914,TARRANT,'220,N,KENNEDALE ISD,'11,
'175907,NAVARRO,'175,N,KERENS ISD,'12,
'248901,WINKLER,'248,N,KERMIT ISD,'18,
'133903,KERR,'133,N,KERRVILLE ISD,'20,B
'092902,GREGG,'092,N,KILGORE ISD,'07,
'014906,BELL,'014,N,KILLEEN ISD,'12,
'137901,KLEBERG,'137,N,KINGSVILLE ISD,'02,B
'227820,TRAVIS,'227,Y,KIPP AUSTIN PUBLIC SCHOOLS INC,'13,
'101813,HARRIS,'101,Y,KIPP INC CHARTER,'04,
'015826,BEXAR,'015,Y,KIPP SAN ANTONIO,'20,
'101860,HARRIS,'101,Y,KIPP SOUTHEAST HOUSTON,'04,D
'057837,DALLAS,'057,Y,KIPP TRUTH ACADEMY,'10,
'121905,JASPER,'121,N,KIRBYVILLE CISD,'05,
'101915,HARRIS,'101,N,KLEIN ISD,'04,D
'058905,DAWSON,'058,N,KLONDIKE ISD,'17,
'232901,UVALDE,'232,N,KNIPPA ISD,'20,D
'138902,KNOX,'138,N,KNOX CITY-O'BRIEN CISD,'09,D
'101863,HARRIS,'101,Y,KOINONIA COMMUNITY LEARNING ACADEM,'04,
'018907,BOSQUE,'018,N,KOPPERL ISD,'12,D
'100903,HARDIN,'100,N,KOUNTZE ISD,'05,
'219905,SWISHER,'219,N,KRESS ISD,'16,
'061905,DENTON,'061,N,KRUM ISD,'11,
'057839,DALLAS,'057,Y,LA ACADEMIA DE ESTRELLAS,'10,
'101833,HARRIS,'101,Y,LA AMISTAD LOVE & LEARNING ACADEMY,'04,
'071807,EL PASO,'071,Y,LA FE PREPARATORY SCHOOL,'19,
'031905,CAMERON,'031,N,LA FERIA ISD,'01,J
'125906,JIM WELLS,'125,N,LA GLORIA ISD,'02,
'075902,FAYETTE,'075,N,LA GRANGE ISD,'13,B
'108912,HIDALGO,'108,N,LA JOYA ISD,'01,B
'084904,GALVESTON,'084,N,LA MARQUE ISD,'04,B
'101916,HARRIS,'101,N,LA PORTE ISD,'04,
'254902,ZAVALA,'254,N,LA PRYOR ISD,'20,C
'161906,MCLENNAN,'161,N,LA VEGA ISD,'12,B
'247903,WILSON,'247,N,LA VERNIA ISD,'20,
'108914,HIDALGO,'108,N,LA VILLA ISD,'01,B
'015913,BEXAR,'015,N,LACKLAND ISD,'20,
'227912,TRAVIS,'227,N,LAGO VISTA ISD,'13,D
'061912,DENTON,'061,N,LAKE DALLAS ISD,'11,
'227913,TRAVIS,'227,N,LAKE TRAVIS ISD,'13,
'220910,TARRANT,'220,N,LAKE WORTH ISD,'11,D
'079901,FORT BEND,'079,N,LAMAR CISD,'04,
'058906,DAWSON,'058,N,LAMESA ISD,'17,H
'141901,LAMPASAS,'141,N,LAMPASAS ISD,'12,
'057913,DALLAS,'057,N,LANCASTER ISD,'10,K
'201903,RUSK,'201,N,LANEVILLE ISD,'07,D
'107910,HENDERSON,'107,N,LAPOYNOR ISD,'07,
'240901,WEBB,'240,N,LAREDO ISD,'01,H
'245901,WILLACY,'245,N,LASARA ISD,'01,
'113905,HOUSTON,'113,N,LATEXO ISD,'06,D
'185904,PARMER,'185,N,LAZBUDDIE ISD,'16,
'061804,DENTON,'061,Y,LEADERSHIP PREP SCHOOL,'10,
'193902,REAL,'193,N,LEAKEY ISD,'20,
'246913,WILLIAMSON,'246,N,LEANDER ISD,'13,
'019914,BOWIE,'019,N,LEARY ISD,'08,
'090902,GRAY,'090,N,LEFORS ISD,'16,
'187906,POLK,'187,N,LEGGETT ISD,'06,D
'145911,LEON,'145,N,LEON ISD,'06,B
'074909,FANNIN,'074,N,LEONARD ISD,'10,
'110902,HOCKLEY,'110,N,LEVELLAND ISD,'17,
'201904,RUSK,'201,N,LEVERETTS CHAPEL ISD,'07,
'061902,DENTON,'061,N,LEWISVILLE ISD,'11,
'144902,LEE,'144,N,LEXINGTON ISD,'13,
'246908,WILLIAMSON,'246,N,LIBERTY HILL ISD,'13,
'146906,LIBERTY,'146,N,LIBERTY ISD,'04,
'019908,BOWIE,'019,N,LIBERTY-EYLAU ISD,'08,B
'057807,DALLAS,'057,Y,LIFE SCHOOL,'10,
'015825,BEXAR,'015,Y,LIGHTHOUSE CHARTER SCHOOL,'20,D
'212903,SMITH,'212,N,LINDALE ISD,'07,D
'034905,CASS,'034,N,LINDEN-KILDARE CISD,'08,
'049907,COOKE,'049,N,LINDSAY ISD,'11,
'072909,ERATH,'072,N,LINGLEVILLE ISD,'11,
'111902,HOOD,'111,N,LIPAN ISD,'11,
'181908,ORANGE,'181,N,LITTLE CYPRESS-MAURICEVILLE CISD,'05,
'061914,DENTON,'061,N,LITTLE ELM ISD,'11,
'140904,LAMB,'140,N,LITTLEFIELD ISD,'17,B
'187907,POLK,'187,N,LIVINGSTON ISD,'06,D
'150901,LLANO,'150,N,LLANO ISD,'13,
'028902,CALDWELL,'028,N,LOCKHART ISD,'13,
'077902,FLOYD,'077,N,LOCKNEY ISD,'17,
'160905,MCCULLOCH,'160,N,LOHN ISD,'15,B
'141902,LAMPASAS,'141,N,LOMETA ISD,'12,
'178906,NUECES,'178,N,LONDON ISD,'02,
'116906,HUNT,'116,N,LONE OAK ISD,'10,
'092903,GREGG,'092,N,LONGVIEW ISD,'07,B
'083902,GAINES,'083,N,LOOP ISD,'17,
'168902,MITCHELL,'168,N,LORAINE ISD,'14,D
'161907,MCLENNAN,'161,N,LORENA ISD,'12,
'054902,CROSBY,'054,N,LORENZO ISD,'17,B
'031906,CAMERON,'031,N,LOS FRESNOS CISD,'01,
'241906,WHARTON,'241,N,LOUISE ISD,'03,D
'043919,COLLIN,'043,N,LOVEJOY ISD,'10,
'113903,HOUSTON,'113,N,LOVELADY ISD,'06,
'152901,LUBBOCK,'152,N,LUBBOCK ISD,'17,B
'152906,LUBBOCK,'152,N,LUBBOCK-COOPER ISD,'17,D
'127905,JONES,'127,N,LUEDERS-AVOCA ISD,'14,D
'003903,ANGELINA,'003,N,LUFKIN ISD,'07,H
'028903,CALDWELL,'028,N,LULING ISD,'13,D
'100907,HARDIN,'100,N,LUMBERTON ISD,'05,
'245902,WILLACY,'245,N,LYFORD CISD,'01,
'007904,ATASCOSA,'007,N,LYTLE ISD,'20,
'129905,KAUFMAN,'129,N,MABANK ISD,'10,D
'154901,MADISON,'154,N,MADISONVILLE CISD,'06,D
'170906,MONTGOMERY,'170,N,MAGNOLIA ISD,'06,
'084801,GALVESTON,'084,Y,MAINLAND PREPARATORY ACADEMY,'04,
'107906,HENDERSON,'107,N,MALAKOFF ISD,'07,
'109908,HILL,'109,N,MALONE ISD,'12,
'019910,BOWIE,'019,N,MALTA ISD,'08,
'057844,DALLAS,'057,Y,MANARA ACADEMY,'10,
'227907,TRAVIS,'227,N,MANOR ISD,'13,B
'220908,TARRANT,'220,N,MANSFIELD ISD,'11,D
'022902,BREWSTER,'022,N,MARATHON ISD,'18,
'027904,BURNET,'027,N,MARBLE FALLS ISD,'13,
'189901,PRESIDIO,'189,N,MARFA ISD,'18,
'094904,GUADALUPE,'094,N,MARION ISD,'13,
'073903,FALLS,'073,N,MARLIN ISD,'12,E
'102902,HARRISON,'102,N,MARSHALL ISD,'07,B
'161908,MCLENNAN,'161,N,MART ISD,'12,
'234905,VAN ZANDT,'234,N,MARTINS MILL ISD,'07,
'174909,NACOGDOCHES,'174,N,MARTINSVILLE ISD,'07,H
'157901,MASON,'157,N,MASON ISD,'15,B
'158904,MATAGORDA,'158,N,MATAGORDA ISD,'03,
'205904,SAN PATRICIO,'205,N,MATHIS ISD,'02,D
'019903,BOWIE,'019,N,MAUD ISD,'08,D
'025905,BROWN,'025,N,MAY ISD,'15,
'070915,ELLIS,'070,N,MAYPEARL ISD,'10,
'108906,HIDALGO,'108,N,MCALLEN ISD,'01,B
'231901,UPTON,'231,N,MCCAMEY ISD,'18,
'011905,BASTROP,'011,N,MCDADE ISD,'13,
'161909,MCLENNAN,'161,N,MCGREGOR ISD,'12,D
'043907,COLLIN,'043,N,MCKINNEY ISD,'10,
'090903,GRAY,'090,N,MCLEAN ISD,'16,
'034906,CASS,'034,N,MCLEOD ISD,'08,
'162904,MCMULLEN,'162,N,MCMULLEN COUNTY ISD,'02,
'223902,TERRY,'223,N,MEADOW ISD,'17,
'130801,KENDALL,'130,Y,MEADOWLAND CHARTER SCHOOL,'20,
'101801,HARRIS,'101,Y,MEDICAL CENTER CHARTER SCHOOL,'04,B
'010901,BANDERA,'010,N,MEDINA ISD,'20,D
'163908,MEDINA,'163,N,MEDINA VALLEY ISD,'20,B
'043908,COLLIN,'043,N,MELISSA ISD,'10,D
'096904,HALL,'096,N,MEMPHIS ISD,'16,D
'164901,MENARD,'164,N,MENARD ISD,'15,
'108907,HIDALGO,'108,N,MERCEDES ISD,'01,B
'018902,BOSQUE,'018,N,MERIDIAN ISD,'12,D
'246801,WILLIAMSON,'246,Y,MERIDIAN WORLD SCHOOL LLC,'13,
'221904,TAYLOR,'221,N,MERKEL ISD,'14,
'057914,DALLAS,'057,N,MESQUITE ISD,'10,
'147903,LIMESTONE,'147,N,MEXIA ISD,'12,H
'101855,HARRIS,'101,Y,MEYERPARK ELEMENTARY,'04,
'062906,DEWITT,'062,N,MEYERSVILLE ISD,'03,
'197902,ROBERTS,'197,N,MIAMI ISD,'16,
'108804,HIDALGO,'108,Y,MID-VALLEY ACADEMY,'01,J
'165802,MIDLAND,'165,Y,MIDLAND ACADEMY CHARTER SCHOOL,'18,
'165901,MIDLAND,'165,N,MIDLAND ISD,'18,C
'070908,ELLIS,'070,N,MIDLOTHIAN ISD,'10,
'039905,CLAY,'039,N,MIDWAY ISD,'09,
'161903,MCLENNAN,'161,N,MIDWAY ISD,'12,
'166903,MILAM,'166,N,MILANO ISD,'06,D
'175910,NAVARRO,'175,N,MILDRED ISD,'12,
'200902,RUNNELS,'200,N,MILES ISD,'15,B
'070909,ELLIS,'070,N,MILFORD ISD,'10,
'112907,HOPKINS,'112,N,MILLER GROVE ISD,'08,
'184904,PARKER,'184,N,MILLSAP ISD,'11,
'250903,WOOD,'250,N,MINEOLA ISD,'07,
'182903,PALO PINTO,'182,N,MINERAL WELLS ISD,'11,B
'108908,HIDALGO,'108,N,MISSION CISD,'01,B
'238902,WARD,'238,N,MONAHANS-WICKETT-PYOTE ISD,'18,
'169908,MONTAGUE,'169,N,MONTAGUE ISD,'09,
'108915,HIDALGO,'108,N,MONTE ALTO ISD,'01,D
'170903,MONTGOMERY,'170,N,MONTGOMERY ISD,'06,
'161910,MCLENNAN,'161,N,MOODY ISD,'12,
'209902,SHACKELFORD,'209,N,MORAN ISD,'14,D
'018903,BOSQUE,'018,N,MORGAN ISD,'12,B
'072910,ERATH,'072,N,MORGAN MILL ISD,'11,
'040901,COCHRAN,'040,N,MORTON ISD,'17,
'173901,MOTLEY,'173,N,MOTLEY COUNTY ISD,'17,
'143902,LAVACA,'143,N,MOULTON ISD,'03,D
'109910,HILL,'109,N,MOUNT CALM ISD,'12,
'201907,RUSK,'201,N,MOUNT ENTERPRISE ISD,'07,D
'225902,TITUS,'225,N,MOUNT PLEASANT ISD,'08,C
'080901,FRANKLIN,'080,N,MOUNT VERNON ISD,'08,
'049902,COOKE,'049,N,MUENSTER ISD,'11,D
'009901,BAILEY,'009,N,MULESHOE ISD,'17,D
'167902,MILLS,'167,N,MULLIN ISD,'12,
'198906,ROBERTSON,'198,N,MUMFORD ISD,'06,
'138903,KNOX,'138,N,MUNDAY CISD,'09,
'107908,HENDERSON,'107,N,MURCHISON ISD,'07,
'174904,NACOGDOCHES,'174,N,NACOGDOCHES ISD,'07,B
'163903,MEDINA,'163,N,NATALIA ISD,'20,
'094903,GUADALUPE,'094,N,NAVARRO ISD,'13,
'093904,GRIMES,'093,N,NAVASOTA ISD,'06,D
'035903,CASTRO,'035,N,NAZARETH ISD,'16,
'001906,ANDERSON,'001,N,NECHES ISD,'07,
'123905,JEFFERSON,'123,N,NEDERLAND ISD,'05,
'079906,FORT BEND,'079,N,NEEDVILLE ISD,'04,
'019905,BOWIE,'019,N,NEW BOSTON ISD,'08,
'046901,COMAL,'046,N,NEW BRAUNFELS ISD,'13,
'170908,MONTGOMERY,'170,N,NEW CANEY ISD,'06,D
'152902,LUBBOCK,'152,N,NEW DEAL ISD,'17,
'230906,UPSHUR,'230,N,NEW DIANA ISD,'07,
'015805,BEXAR,'015,Y,NEW FRONTIERS CHARTER SCHOOL,'20,
'153905,LYNN,'153,N,NEW HOME ISD,'17,
'037908,CHEROKEE,'037,N,NEW SUMMERFIELD ISD,'07,D
'236901,WALKER,'236,N,NEW WAVERLY ISD,'06,D
'252902,YOUNG,'252,N,NEWCASTLE ISD,'09,
'220817,TARRANT,'220,Y,NEWMAN INTERNATIONAL ACADEMY OF AR,'11,
'176902,NEWTON,'176,N,NEWTON ISD,'05,D
'089903,GONZALES,'089,N,NIXON-SMILEY CISD,'13,
'169902,MONTAGUE,'169,N,NOCONA ISD,'09,D
'062902,DEWITT,'062,N,NORDHEIM ISD,'03,D
'145906,LEON,'145,N,NORMANGEE ISD,'06,
'015910,BEXAR,'015,N,NORTH EAST ISD,'20,
'101909,HARRIS,'101,N,NORTH FOREST ISD,'04,E
'112906,HOPKINS,'112,N,NORTH HOPKINS ISD,'08,
'139911,LAMAR,'139,N,NORTH LAMAR ISD,'08,
'154903,MADISON,'154,N,NORTH ZULCH ISD,'06,
'015915,BEXAR,'015,N,NORTHSIDE ISD,'20,
'244905,WILBARGER,'244,N,NORTHSIDE ISD,'09,
'061911,DENTON,'061,N,NORTHWEST ISD,'11,
'101848,HARRIS,'101,Y,NORTHWEST PREPARATORY,'04,
'057809,DALLAS,'057,Y,NOVA ACADEMY,'10,
'057827,DALLAS,'057,Y,NOVA ACADEMY (SOUTHEAST),'10,
'042906,COLEMAN,'042,N,NOVICE ISD,'15,
'069902,EDWARDS,'069,N,NUECES CANYON CISD,'15,D
'235904,VICTORIA,'235,N,NURSERY ISD,'03,
'227804,TRAVIS,'227,Y,NYOS CHARTER SCHOOL,'13,
'153903,LYNN,'153,N,O'DONNELL ISD,'17,
'145907,LEON,'145,N,OAKWOOD ISD,'06,D
'205905,SAN PATRICIO,'205,N,ODEM-EDROY ISD,'02,
'084802,GALVESTON,'084,Y,ODYSSEY ACADEMY INC,'04,
'050904,CORYELL,'050,N,OGLESBY ISD,'12,
'200906,RUNNELS,'200,N,OLFEN ISD,'15,
'252903,YOUNG,'252,N,OLNEY ISD,'09,D
'140905,LAMB,'140,N,OLTON ISD,'17,
'187910,POLK,'187,N,ONALASKA ISD,'06,
'125903,JIM WELLS,'125,N,ORANGE GROVE ISD,'02,B
'181905,ORANGE,'181,N,ORANGEFIELD ISD,'05,D
'230903,UPSHUR,'230,N,ORE CITY ISD,'07,D
'014804,BELL,'014,Y,ORENDA CHARTER SCHOOL,'12,
'201908,RUSK,'201,N,OVERTON ISD,'07,D
'051901,COTTLE,'051,N,PADUCAH ISD,'17,
'104907,HASKELL,'104,N,PAINT CREEK ISD,'14,
'048903,CONCHO,'048,N,PAINT ROCK ISD,'15,
'158905,MATAGORDA,'158,N,PALACIOS ISD,'03,
'001907,ANDERSON,'001,N,PALESTINE ISD,'07,B
'070910,ELLIS,'070,N,PALMER ISD,'10,
'182906,PALO PINTO,'182,N,PALO PINTO ISD,'11,
'090904,GRAY,'090,N,PAMPA ISD,'16,
'033902,CARSON,'033,N,PANHANDLE ISD,'16,D
'183801,PANOLA,'183,Y,PANOLA CHARTER SCHOOL,'07,
'042905,COLEMAN,'042,N,PANTHER CREEK CISD,'15,
'249906,WISE,'249,N,PARADISE ISD,'11,
'139909,LAMAR,'139,N,PARIS ISD,'08,
'101917,HARRIS,'101,N,PASADENA ISD,'04,
'071803,EL PASO,'071,Y,PASO DEL NORTE,'19,B
'063906,DICKENS,'063,N,PATTON SPRINGS ISD,'17,D
'013902,BEE,'013,N,PAWNEE ISD,'02,
'020908,BRAZORIA,'020,N,PEARLAND ISD,'04,
'082903,FRIO,'082,N,PEARSALL ISD,'20,B
'184908,PARKER,'184,N,PEASTER ISD,'11,
'195901,REEVES,'195,N,PECOS-BARSTOW-TOYAH ISD,'18,
'057802,DALLAS,'057,Y,PEGASUS SCHOOL OF LIBERAL ARTS AND,'10,
'109914,HILL,'109,N,PENELOPE ISD,'12,
'119903,JACK,'119,N,PERRIN-WHITT CISD,'09,
'179901,OCHILTREE,'179,N,PERRYTON ISD,'16,
'095904,HALE,'095,N,PETERSBURG ISD,'17,
'039903,CLAY,'039,N,PETROLIA ISD,'09,
'013903,BEE,'013,N,PETTUS ISD,'02,
'172905,MORRIS,'172,N,PEWITT CISD,'08,
'227904,TRAVIS,'227,N,PFLUGERVILLE ISD,'13,
'108909,HIDALGO,'108,N,PHARR-SAN JUAN-ALAMO ISD,'01,C
'116801,HUNT,'116,Y,PHOENIX CHARTER SCHOOL,'10,
'061903,DENTON,'061,N,PILOT POINT ISD,'11,
'092904,GREGG,'092,N,PINE TREE ISD,'07,D
'003801,ANGELINA,'003,Y,PINEYWOODS COMMUNITY ACADEMY,'07,
'032902,CAMP,'032,N,PITTSBURG ISD,'08,D
'251902,YOAKUM,'251,N,PLAINS ISD,'17,D
'095905,HALE,'095,N,PLAINVIEW ISD,'17,H
'043910,COLLIN,'043,N,PLANO ISD,'10,
'019912,BOWIE,'019,N,PLEASANT GROVE ISD,'08,B
'007905,ATASCOSA,'007,N,PLEASANTON ISD,'20,B
'117904,HUTCHINSON,'117,N,PLEMONS-STINNETT-PHILLIPS CISD,'16,
'031909,CAMERON,'031,N,POINT ISABEL ISD,'01,B
'061906,DENTON,'061,N,PONDER ISD,'11,D
'184901,PARKER,'184,N,POOLVILLE ISD,'11,
'015801,BEXAR,'015,Y,POR VIDA ACADEMY,'20,H
'178908,NUECES,'178,N,PORT ARANSAS ISD,'02,
'123907,JEFFERSON,'123,N,PORT ARTHUR ISD,'05,B
'123908,JEFFERSON,'123,N,PORT NECHES-GROVES ISD,'05,
'015814,BEXAR,'015,Y,POSITIVE SOLUTIONS CHARTER SCHOOL,'20,
'085902,GARZA,'085,N,POST ISD,'17,
'007906,ATASCOSA,'007,N,POTEET ISD,'20,D
'247904,WILSON,'247,N,POTH ISD,'20,D
'091913,GRAYSON,'091,N,POTTSBORO ISD,'10,
'028906,CALDWELL,'028,N,PRAIRIE LEA ISD,'13,
'169909,MONTAGUE,'169,N,PRAIRIE VALLEY ISD,'09,D
